Facultad,Carrera,Día,H_Inicio,H_Salida,Año_Inicio,Año_Fin,Total Estudiantes
FIGEMPA,MINAS,VIERNES,14,16,2020,2021,30
CQ,BIO Y FAR,VIERNES,17,19,2020,2021,63
AGR,AGRONOMIA,MARTES,7,9,2020,2021,55
CQ,BIO Y FAR,JUEVES,13,15,2020,2021,58
ICA,CIVIL,VIERNES,11,13,2020,2021,45
CIENCIAS,MATEMATICA,MIERCOLES,12,14,2020,2021,64
CIENCIAS,MATEMATICA,VIERNES,13,15,2020,2021,43
AGR,AGRONOMIA,JUEVES,7,9,2020,2021,60
ICA,CIVIL,LUNES,9,11,2020,2021,45
CQ,BIO Y FAR,LUNES,9,11,2020,2021,22
FIGEMPA,AMBIENTAL,VIERNES,9,11,2020,2021,11
IQ,I QUIMICA,JUEVES,15,17,2020,2021,38
ICA,C GRAFICA,JUEVES,11,13,2020,2021,36
ICA,S INFORMACION,MARTES,18,20,2020,2021,79
ICA,CIVIL,JUEVES,11,13,2020,2021,46
CQ,BIO Y FAR,JUEVES,13,15,2020,2021,59
ICA,CIVIL,MIERCOLES,7,9,2020,2021,22
ARQ,ARQUITECTURA,VIERNES,7,9,2020,2021,46
ICA,COMPUTACION,VIERNES,11,13,2020,2021,50
AGR,AGRONOMIA,MIERCOLES,7,9,2020,2021,67
CQ,QUIMICA,MIERCOLES,9,11,2020,2021,44
CQ,BIO Y FAR,VIERNES,7,9,2020,2021,53
CQ,BIO Y FAR,LUNES,9,11,2021,2021,70
ICA,COMPUTACION,MARTES,11,13,2021,2021,40
IQ,I QUIMICA,VIERNES,11,13,2021,2021,40
CQ,BIO Y FAR,JUEVES,11,13,2021,2021,18
ICA,C GRAFICA,JUEVES,9,11,2021,2021,5
FILO,P INFORMATICA,LUNES,7,9,2021,2021,55
FIGEMPA,MINAS,LUNES,9,11,2021,2021,16
CQ,BIO Y FAR,VIERNES,7,9,2021,2021,65
ICA,S INFORMACION,MARTES,9,11,2021,2021,45
FIGEMPA,AMBIENTAL,VIERNES,9,11,2021,2021,21
ICA,CIVIL,LUNES,11,13,2021,2021,38
ICA,CIVIL,MARTES,15,17,2021,2021,41
FILO,P MATEMATICA,MARTES,16,18,2021,2021,12
ICA,CIVIL,MIERCOLES,15,17,2021,2021,38
ICA,CIVIL,MIERCOLES,18,20,2021,2021,46
CIENCIAS,MATEMATICA,VIERNES,16,18,2021,2021,33
ICA,CIVIL,JUEVES,11,13,2021,2021,45
CQ,QUIMICA,LUNES,18,20,2021,2021,27
FILO,MECATRONICA,MARTES,15,17,2021,2021,18
CQ,BIO Y FAR,MIERCOLES,14,16,2021,2021,53
FILO,P MATEMATICA,MIERCOLES,16,18,2021,2021,44
IQ,I QUIMICA,JUEVES,9,11,2021,2021,42
ICA,CIVIL,LUNES,9,11,2021,2021,51
FILO,P MATEMATICA,MARTES,7,9,2021,2021,28
FILO,MECATRONICA,VIERNES,9,11,2021,2021,45
FILO,P MATEMATICA,JUEVES,16,18,2021,2021,49
ICA,S INFORMACION,MARTES,18,20,2021,2021,40
FILO,P MATEMATICA,MIERCOLES,16,18,2021,2021,40
CQ,QUIMICA,VIERNES,15,17,2021,2021,30
CQ,BIO Y FAR,JUEVES,13,15,2021,2021,52
FILO,P MATEMATICA,MARTES,10,12,2021,2021,33
ARQ,ARQUITECTURA,VIERNES,7,9,2021,2021,28
CQ,QUIMICA,JUEVES,13,15,2021,2021,69
FILO,P MATEMATICA,MARTES,9,11,2021,2021,47
ICA,COMPUTACION,VIERNES,13,15,2021,2021,34
CQ,BIO Y FAR,JUEVES,13,15,2021,2022,58
CQ,BIO Y FAR,LUNES,9,11,2021,2022,59
ICA,COMPUTACION,MIERCOLES,14,16,2021,2022,60
ARQ,ARQUITECTURA,VIERNES,7,9,2021,2022,28
CQ,QUIMICA,VIERNES,9,11,2021,2022,42
CQ,BIO Y FAR,JUEVES,11,13,2021,2022,38
FILO,P MATEMATICA,LUNES,7,9,2021,2022,42
ICA,CIVIL,LUNES,11,13,2021,2022,42
AGR,AGRONOMIA,MARTES,10,12,2021,2022,35
ICA,CIVIL,VIERNES,7,9,2021,2022,39
CIENCIAS,MATEMATICA,VIERNES,11,13,2021,2022,36
CQ,BIO Y FAR,VIERNES,13,15,2021,2022,62
ICA,CIVIL,JUEVES,9,11,2021,2022,39
CQ,BIO Y FAR,MARTES,11,13,2021,2022,25
FILO,P MATEMATICA,MIERCOLES,7,9,2021,2022,54
FIGEMPA,MINAS,MIERCOLES,11,13,2021,2022,20
AGR,AGRONOMIA,VIERNES,10,12,2021,2022,30
FILO,P MATEMATICA,MIERCOLES,7,9,2021,2022,42
FIGEMPA,PETROLEOS,VIERNES,7,9,2021,2022,26
FILO,P MATEMATICA,JUEVES,9,11,2021,2022,40
ARQ,ARQUITECTURA,MARTES,9,11,2021,2022,26
AGR,AGRONOMIA,JUEVES,10,12,2021,2022,32
CQ,QUIMICA,JUEVES,8,10,2021,2022,29
FILO,P INFORMATICA,LUNES,7,9,2021,2022,36
FILO,P MATEMATICA,MARTES,7,9,2021,2022,42
CQ,QUIMICA,MIERCOLES,11,13,2021,2022,54
ICA,INDUSTRIAL,VIERNES,11,13,2021,2022,55
FIGEMPA,MINAS,JUEVES,11,13,2021,2022,6
ICA,CIVIL,LUNES,7,9,2021,2022,40
ARQ,ARQUITECTURA,JUEVES,11,13,2021,2022,28
FILO,P MATEMATICA,JUEVES,16,18,2021,2022,33
ICA,INDUSTRIAL,LUNES,14,16,2021,2022,55
FIGEMPA,GEOLOGIA,MARTES,14,16,2021,2022,21
FILO,P MATEMATICA,MARTES,16,18,2021,2022,47
ICA,CIVIL,MIERCOLES,14,16,2021,2022,40
ICA,CIVIL,LUNES,16,18,2021,2022,40
CIENCIAS,MATEMATICA,MARTES,16,18,2021,2022,16
FIGEMPA,GEOLOGIA,MARTES,14,16,2021,2022,22
ICA,CIVIL,VIERNES,18,20,2021,2022,32
FILO,P INFORMATICA,JUEVES,7,9,2021,2022,41
FILO,P INFORMATICA,LUNES,7,9,2021,2022,39
ARQ,ARQUITECTURA,MARTES,7,9,2021,2022,28
CQ,BIO Y FAR,MIERCOLES,12,14,2021,2022,62
FILO,P INFORMATICA,MIERCOLES,15,18,2021,2022,30
FILO,P INFORMATICA,VIERNES,7,9,2021,2022,39
FILO,P MATEMATICA,JUEVES,16,18,2021,2022,41
FILO,MECATRONICA,JUEVES,18,20,2021,2022,31
CQ,QUIMICA,LUNES,18,20,2021,2022,29
FIGEMPA,PETROLEOS,MARTES,16,18,2021,2022,19
ICA,S INFORMACION,MIERCOLES,14,16,2021,2022,69
FILO,P MATEMATICA,MIERCOLES,16,18,2021,2022,52
CQ,BIO Y FAR,VIERNES,15,17,2021,2022,56
FILO,P INFORMATICA,JUEVES,7,9,2021,2022,40
IQ,I QUIMICA,VIERNES,11,13,2021,2022,53
IQ,I QUIMICA,JUEVES,9,11,2021,2022,37
ICA,INDUSTRIAL,VIERNES,7,9,2021,2022,65
ICA,CIVIL,JUEVES,18,20,2021,2022,40
ICA,S INFORMACION,MARTES,18,20,2021,2022,59
FILO,P MATEMATICA,MIERCOLES,16,18,2021,2022,38
CIENCIAS,MATEMATICA,VIERNES,14,16,2021,2022,18
CQ,BIO Y FAR,JUEVES,13,15,2021,2022,60
FILO,P MATEMATICA,JUEVES,16,18,2021,2022,32
FILO,P MATEMATICA,LUNES,16,18,2021,2022,26
FIGEMPA,GEOLOGIA,MARTES,16,18,2021,2022,12
FILO,P MATEMATICA,MIERCOLES,16,18,2021,2022,18
IQ,I QUIMICA,VIERNES,13,15,2021,2022,37
CQ,BIO Y FAR,VIERNES,16,18,2021,2022,59
CQ,BIO Y FAR,JUEVES,13,15,2021,2022,34
FIGEMPA,AMBIENTAL,VIERNES,9,11,2021,2022,21
FILO,MECATRONICA,JUEVES,7,9,2021,2022,29
FILO,MECATRONICA,LUNES,7,9,2021,2022,42
ARQ,ARQUITECTURA,JUEVES,7,9,2022,2022,25
CQ,BIO Y FAR,MARTES,11,13,2022,2022,51
FILO,P MATEMATICA,JUEVES,7,9,2022,2022,43
ARQ,ARQUITECTURA,MIERCOLES,9,11,2022,2022,18
IQ,I QUIMICA,MIERCOLES,11,13,2022,2022,22
CQ,BIO Y FAR,VIERNES,13,15,2022,2022,47
FIGEMPA,PETROLEOS,VIERNES,7,9,2022,2022,24
FILO,P MATEMATICA,JUEVES,7,9,2022,2022,45
AGR,AGRONOMIA,JUEVES,10,12,2022,2022,36
IQ,I QUIMICA,MARTES,9,11,2022,2022,40
CQ,BIO Y FAR,MIERCOLES,7,9,2022,2022,50
ARQ,ARQUITECTURA,VIERNES,7,9,2022,2022,25
FIGEMPA,AMBIENTAL,VIERNES,9,11,2022,2022,28
FILO,P MATEMATICA,JUEVES,9,11,2022,2022,32
IQ,I QUIMICA,JUEVES,10,12,2022,2022,48
FILO,P MATEMATICA,LUNES,7,9,2022,2022,44
FILO,P MATEMATICA,LUNES,9,11,2022,2022,30
CQ,BIO Y FAR,LUNES,13,15,2022,2022,42
AGR,AGRONOMIA,MARTES,10,12,2022,2022,32
ICA,CIVIL,JUEVES,16,18,2022,2022,33
FILO,MECATRONICA,VIERNES,15,17,2022,2022,23
FIGEMPA,GEOLOGIA,MARTES,14,16,2022,2022,33
FIGEMPA,GEOLOGIA,VIERNES,14,16,2022,2022,20
ICA,CIVIL,VIERNES,11,13,2022,2022,69
ICA,CIVIL,VIERNES,9,11,2022,2022,69
CIENCIAS,MATEMATICA,JUEVES,11,13,2022,2022,30
ICA,INDUSTRIAL,MARTES,9,11,2022,2022,39
FILO,P MATEMATICA,JUEVES,7,9,2022,2022,41
CQ,BIO Y FAR,JUEVES,9,11,2022,2022,53
CQ,QUIMICA,LUNES,9,11,2022,2022,38
FILO,MECATRONICA,LUNES,9,11,2022,2022,31
ARQ,ARQUITECTURA,MARTES,7,9,2022,2022,25
FIGEMPA,MINAS,MIERCOLES,11,13,2022,2022,13
CQ,QUIMICA,JUEVES,13,15,2022,2022,14
FIGEMPA,GEOLOGIA,MARTES,16,18,2022,2022,10
FILO,P INFORMATICA,MIERCOLES,11,13,2022,2022,32
FILO,P MATEMATICA,MIERCOLES,16,18,2022,2022,31
CQ,QUIMICA,VIERNES,15,17,2022,2022,51
ICA,CIVIL,MIERCOLES,9,11,2022,2022,50
CQ,BIO Y FAR,JUEVES,13,15,2022,2022,32
ICA,CIVIL,LUNES,11,13,2022,2022,24
ICA,CIVIL,LUNES,14,16,2022,2022,70
CQ,BIO Y FAR,MIERCOLES,13,15,2022,2022,45
FILO,P INFORMATICA,LUNES,15,17,2022,2022,25
FILO,P INFORMATICA,MARTES,10,12,2022,2022,42
FILO,P INFORMATICA,MARTES,15,17,2022,2022,20
FILO,P INFORMATICA,MIERCOLES,10,12,2022,2022,23
FILO,P INFORMATICA,JUEVES,9,11,2022,2022,11
FILO,P INFORMATICA,VIERNES,10,12,2022,2022,31
FILO,P MATEMATICA,JUEVES,16,18,2022,2022,35
FILO,MECATRONICA,LUNES,17,19,2022,2022,38
FILO,P MATEMATICA,MARTES,16,18,2022,2022,26
CQ,BIO Y FAR,MARTES,18,20,2022,2022,55
FILO,P MATEMATICA,MIERCOLES,16,18,2022,2022,20
FILO,P MATEMATICA,VIERNES,16,18,2022,2022,52
ICA,INDUSTRIAL,JUEVES,7,9,2022,2022,52
ICA,COMPUTACION,VIERNES,11,13,2022,2022,46
ICA,S INFORMACION,LUNES,18,20,2022,2022,49
FIGEMPA,AMBIENTAL,MIERCOLES,14,16,2022,2022,17
ICA,S INFORMACION,MIERCOLES,9,11,2022,2022,35
ICA,CIVIL,VIERNES,10,12,2022,2022,69
FILO,P MATEMATICA,LUNES,16,18,2022,2022,36
FILO,P MATEMATICA,LUNES,16,18,2022,2022,34
CQ,QUIMICA,LUNES,18,20,2022,2022,10
FIGEMPA,PETROLEOS,MARTES,18,20,2022,2022,20
FILO,P MATEMATICA,MIERCOLES,16,18,2022,2022,27
CIENCIAS,MATEMATICA,VIERNES,17,19,2022,2022,30
ICA,INDUSTRIAL,MIERCOLES,7,9,2022,2022,45
CIENCIAS,MATEMATICA,VIERNES,10,12,2022,2022,39
ICA,COMPUTACION,JUEVES,11,13,2022,2022,46
FILO,MECATRONICA,MARTES,11,13,2022,2022,41
CQ,QUIMICA,VIERNES,7,9,2022,2022,18
CQ,BIO Y FAR,JUEVES,9,11,2022,2023,24
FILO,P MATEMATICA,LUNES,7,9,2022,2023,35
IQ,I QUIMICA,LUNES,9,11,2022,2023,38
AGR,AGRONOMIA,MARTES,9,11,2022,2023,30
CQ,QUIMICA,MARTES,11,13,2022,2023,62
CIENCIAS,MATEMATICA,MARTES,7,9,2022,2023,33
ICA,CIVIL,JUEVES,9,11,2022,2023,35
ICA,CIVIL,JUEVES,11,13,2022,2023,47
FILO,P MATEMATICA,MARTES,7,9,2022,2023,39
CQ,BIO Y FAR,MARTES,9,11,2022,2023,52
ICA,CIVIL,MIERCOLES,7,9,2022,2023,30
ARQ,ARQUITECTURA,VIERNES,7,9,2022,2023,43
FILO,MECATRONICA,VIERNES,16,18,2022,2023,29
FIGEMPA,GEOLOGIA,MARTES,14,16,2022,2023,27
FIGEMPA,GEOLOGIA,MARTES,16,18,2022,2023,13
ICA,CIVIL,MARTES,18,20,2022,2023,41
CQ,BIO Y FAR,MIERCOLES,13,15,2022,2023,52
ICA,INDUSTRIAL,MIERCOLES,11,13,2022,2023,38
ICA,CIVIL,MARTES,7,9,2022,2023,36
ICA,S INFORMACION,VIERNES,11,13,2022,2023,65
FILO,P MATEMATICA,LUNES,9,11,2022,2023,47
CQ,QUIMICA,VIERNES,7,9,2022,2023,36
ARQ,ARQUITECTURA,JUEVES,7,9,2022,2023,43
AGR,AGRONOMIA,LUNES,11,13,2022,2023,32
ICA,CIVIL,LUNES,7,9,2022,2023,43
CQ,BIO Y FAR,MARTES,11,13,2022,2023,51
ARQ,ARQUITECTURA,MARTES,7,9,2022,2023,28
IQ,I QUIMICA,MARTES,9,11,2022,2023,42
FIGEMPA,MINAS,MIERCOLES,11,13,2022,2023,12
ARQ,ARQUITECTURA,MARTES,7,9,2022,2023,30
ICA,COMPUTACION,JUEVES,14,16,2022,2023,31
AGR,AGRONOMIA,JUEVES,16,18,2022,2023,28
FILO,P MATEMATICA,JUEVES,15,17,2022,2023,41
FIGEMPA,AMBIENTAL,MIERCOLES,14,16,2022,2023,8
CQ,BIO Y FAR,VIERNES,13,15,2022,2023,40
FILO,P MATEMATICA,VIERNES,15,17,2022,2023,35
FILO,P MATEMATICA,LUNES,7,9,2022,2023,28
IQ,I QUIMICA,JUEVES,11,13,2022,2023,27
FILO,MECATRONICA,LUNES,10,12,2022,2023,30
CQ,BIO Y FAR,MIERCOLES,13,15,2022,2023,46
ICA,CIVIL,MIERCOLES,16,18,2022,2023,37
ICA,COMPUTACION,VIERNES,11,13,2022,2023,53
FILO,MECATRONICA,VIERNES,14,16,2022,2023,27
ICA,CIVIL,JUEVES,9,11,2022,2023,44
FILO,P INFORMATICA,LUNES,14,16,2022,2023,24
FILO,P INFORMATICA,LUNES,15,17,2022,2023,20
ICA,CIVIL,MARTES,11,13,2022,2023,47
FILO,P INFORMATICA,MIERCOLES,14,16,2022,2023,24
FILO,P INFORMATICA,MIERCOLES,7,9,2022,2023,19
FILO,P MATEMATICA,LUNES,15,17,2022,2023,40
ICA,CIVIL,MARTES,14,16,2022,2023,42
FIGEMPA,PETROLEOS,MARTES,16,18,2022,2023,11
CQ,BIO Y FAR,MARTES,18,20,2022,2023,60
FILO,P MATEMATICA,MIERCOLES,15,17,2022,2023,31
CIENCIAS,MATEMATICA,VIERNES,12,14,2022,2023,41
FIGEMPA,MINAS,VIERNES,14,16,2022,2023,13
FIGEMPA,PETROLEOS,VIERNES,7,9,2022,2023,34
IQ,I QUIMICA,MIERCOLES,11,13,2022,2023,38
FIGEMPA,AMBIENTAL,VIERNES,9,11,2022,2023,31
ICA,INDUSTRIAL,JUEVES,16,18,2022,2023,29
ICA,S INFORMACION,LUNES,18,20,2022,2023,48
ICA,INDUSTRIAL,VIERNES,16,18,2022,2023,24
ICA,CIVIL,JUEVES,14,16,2022,2023,36
CQ,QUIMICA,LUNES,18,20,2022,2023,29
CIENCIAS,MATEMATICA,MARTES,14,16,2022,2023,8
FILO,P MATEMATICA,MARTES,16,18,2022,2023,56
CIENCIAS,MATEMATICA,MARTES,18,20,2022,2023,13
FILO,P MATEMATICA,MIERCOLES,15,17,2022,2023,41
FILO,P MATEMATICA,VIERNES,16,18,2022,2023,44
FILO,P MATEMATICA,JUEVES,7,9,2022,2023,41
FILO,MECATRONICA,MARTES,11,13,2022,2023,52
CQ,QUIMICA,JUEVES,7,9,2023,2023,53
ARQ,ARQUITECTURA,LUNES,7,9,2023,2023,37
AGR,AGRONOMIA,LUNES,10,12,2023,2023,35
CQ,QUIMICA,MARTES,7,9,2023,2023,52
FIGEMPA,PETROLEOS,VIERNES,7,9,2023,2023,38
FILO,P MATEMATICA,JUEVES,7,9,2023,2023,65
ARQ,ARQUITECTURA,LUNES,9,11,2023,2023,31
FILO,MECATRONICA,LUNES,11,13,2023,2023,35
CIENCIAS,MATEMATICA,MARTES,9,11,2023,2023,20
CQ,BIO Y FAR,MIERCOLES,10,12,2023,2023,56
FIGEMPA,MINAS,MIERCOLES,11,13,2023,2023,16
CQ,QUIMICA,VIERNES,8,10,2023,2023,46
CQ,BIO Y FAR,JUEVES,10,12,2023,2023,49
CQ,BIO Y FAR,JUEVES,14,16,2023,2023,45
CQ,BIO Y FAR,MARTES,12,14,2023,2023,54
FIGEMPA,GEOLOGIA,MARTES,14,16,2023,2023,28
FIGEMPA,AMBIENTAL,MIERCOLES,14,16,2023,2023,12
FIGEMPA,AMBIENTAL,VIERNES,9,11,2023,2023,25
IQ,I QUIMICA,MIERCOLES,11,13,2023,2023,35
ICA,CIVIL,JUEVES,9,11,2023,2023,40
CQ,BIO Y FAR,LUNES,11,13,2023,2023,26
IQ,I QUIMICA,LUNES,9,11,2023,2023,34
CQ,BIO Y FAR,MARTES,10,12,2023,2023,29
ICA,CIVIL,MARTES,7,9,2023,2023,41
CIENCIAS,MATEMATICA,MIERCOLES,10,12,2023,2023,17
FIGEMPA,PETROLEOS,VIERNES,11,13,2023,2023,16
ARQ,ARQUITECTURA,JUEVES,7,9,2023,2023,36
ICA,CIVIL,LUNES,7,9,2023,2023,20
IQ,I QUIMICA,JUEVES,11,13,2023,2023,55
ICA,CIVIL,JUEVES,14,16,2023,2023,40
ICA,CIVIL,MARTES,14,16,2023,2023,34
ARQ,ARQUITECTURA,MIERCOLES,12,14,2023,2023,46
ARQ,ARQUITECTURA,VIERNES,9,11,2023,2023,21
ICA,S INFORMACION,VIERNES,14,16,2023,2023,19
FILO,P MATEMATICA,LUNES,7,9,2023,2023,47
FILO,P INFORMATICA,LUNES,10,12,2023,2023,27
IQ,I QUIMICA,MARTES,9,11,2023,2023,41
CQ,BIO Y FAR,MIERCOLES,8,10,2023,2023,51
CQ,BIO Y FAR,MIERCOLES,10,12,2023,2023,55
CIENCIAS,MATEMATICA,VIERNES,7,9,2023,2023,26
FILO,MECATRONICA,LUNES,18,20,2023,2023,20
CIENCIAS,MATEMATICA,MARTES,16,18,2023,2023,16
CQ,BIO Y FAR,MARTES,18,20,2023,2023,48
FILO,P MATEMATICA,MIERCOLES,15,17,2023,2023,40
ICA,CIVIL,MIERCOLES,18,20,2023,2023,37
FILO,MECATRONICA,VIERNES,15,17,2023,2023,40
ICA,CIVIL,MARTES,11,13,2023,2023,40
ICA,CIVIL,MIERCOLES,7,9,2023,2023,36
ICA,INDUSTRIAL,LUNES,13,15,2023,2023,65
ICA,S INFORMACION,LUNES,18,20,2023,2023,9
FILO,P MATEMATICA,JUEVES,7,9,2023,2023,38
FILO,P MATEMATICA,MIERCOLES,14,16,2023,2023,39
ICA,COMPUTACION,LUNES,16,18,2023,2023,37
FIGEMPA,GEOLOGIA,MARTES,16,18,2023,2023,6
FILO,P MATEMATICA,MIERCOLES,15,17,2023,2023,47
ICA,S INFORMACION,VIERNES,14,16,2023,2023,45
ICA,COMPUTACION,VIERNES,16,18,2023,2023,35
FILO,P MATEMATICA,LUNES,15,17,2023,2023,37
CQ,QUIMICA,LUNES,18,20,2023,2023,23
FILO,P MATEMATICA,MARTES,17,19,2023,2023,36
FILO,P MATEMATICA,MARTES,16,18,2023,2023,41
ICA,CIVIL,MIERCOLES,16,18,2023,2023,35
FILO,P MATEMATICA,VIERNES,17,19,2023,2023,34
FIGEMPA,MINAS,VIERNES,14,16,2023,2023,9
ICA,CIVIL,JUEVES,9,11,2023,2023,37
ICA,CIVIL,MIERCOLES,9,11,2023,2023,32
FILO,P MATEMATICA,MARTES,11,13,2023,2023,31
FILO,MECATRONICA,JUEVES,9,11,2023,2023,40
CQ,QUIMICA,JUEVES,7,9,2023,2024,61
ICA,INDUSTRIAL,MIERCOLES,9,11,2023,2024,44
ARQ,ARQUITECTURA,MIERCOLES,7,9,2023,2024,31
FIGEMPA,PETROLEOS,VIERNES,7,9,2023,2024,31
FILO,P MATEMATICA,JUEVES,7,9,2023,2024,42
FILO,P MATEMATICA,LUNES,7,9,2023,2024,49
CQ,BIO Y FAR,LUNES,11,13,2023,2024,18
FILO,P MATEMATICA,MARTES,7,9,2023,2024,40
CQ,BIO Y FAR,MIERCOLES,8,10,2023,2024,54
ARQ,ARQUITECTURA,VIERNES,7,9,2023,2024,46
CQ,BIO Y FAR,JUEVES,13,15,2023,2024,50
IQ,I QUIMICA,LUNES,9,11,2023,2024,51
FIGEMPA,AMBIENTAL,MARTES,9,11,2023,2024,17
CQ,BIO Y FAR,MIERCOLES,11,13,2023,2024,44
FIGEMPA,MINAS,VIERNES,9,11,2023,2024,26
CQ,QUIMICA,JUEVES,13,15,2023,2024,22
ARQ,ARQUITECTURA,MIERCOLES,10,12,2023,2024,55
AGR,AGRONOMIA,MARTES,11,13,2023,2024,32
AGR,AGRONOMIA,VIERNES,7,9,2023,2024,24
AGR,AGRONOMIA,LUNES,10,12,2023,2024,31
ARQ,ARQUITECTURA,LUNES,13,15,2023,2024,27
CIENCIAS,MATEMATICA,MIERCOLES,8,10,2023,2024,39
CIENCIAS,MATEMATICA,MIERCOLES,12,14,2023,2024,46
FIGEMPA,PETROLEOS,VIERNES,13,15,2023,2024,28
CIENCIAS,MATEMATICA,JUEVES,12,14,2023,2024,22
CQ,QUIMICA,MARTES,13,15,2023,2024,52
FILO,P MATEMATICA,JUEVES,9,11,2023,2024,46
IQ,I QUIMICA,LUNES,9,11,2023,2024,30
IQ,I QUIMICA,MARTES,9,11,2023,2024,42
ARQ,ARQUITECTURA,MARTES,11,13,2023,2024,37
ARQ,ARQUITECTURA,MARTES,11,13,2023,2024,24
ARQ,ARQUITECTURA,MIERCOLES,11,13,2023,2024,77
ICA,CIVIL,LUNES,7,9,2023,2024,28
FILO,MECATRONICA,MARTES,9,11,2023,2024,40
FILO,P INFORMATICA,MIERCOLES,8,10,2023,2024,34
ICA,CIVIL,JUEVES,7,9,2023,2024,14
ARQ,ARQUITECTURA,VIERNES,11,13,2023,2024,38
CQ,QUIMICA,JUEVES,16,18,2023,2024,30
FILO,P MATEMATICA,JUEVES,18,20,2023,2024,61
FILO,P MATEMATICA,LUNES,15,17,2023,2024,43
CQ,QUIMICA,MARTES,15,17,2023,2024,64
FIGEMPA,MINAS,VIERNES,14,16,2023,2024,24
CIENCIAS,MATEMATICA,VIERNES,17,19,2023,2024,4
CQ,BIO Y FAR,MARTES,13,15,2023,2024,32
ICA,CIVIL,VIERNES,9,11,2023,2024,43
ICA,CIVIL,LUNES,9,11,2023,2024,43
CIENCIAS,MATEMATICA,VIERNES,7,9,2023,2024,28
FIGEMPA,GEOLOGIA,MARTES,14,16,2023,2024,32
FIGEMPA,GEOLOGIA,MARTES,16,18,2023,2024,8
CQ,BIO Y FAR,MIERCOLES,10,12,2023,2024,49
FILO,P MATEMATICA,MIERCOLES,15,17,2023,2024,41
FILO,MECATRONICA,VIERNES,14,16,2023,2024,37
FILO,P MATEMATICA,JUEVES,16,18,2023,2024,21
CIENCIAS,MATEMATICA,MARTES,17,19,2023,2024,4
ARQ,ARQUITECTURA,MARTES,15,17,2023,2024,49
FILO,MECATRONICA,VIERNES,17,19,2023,2024,32
ICA,CIVIL,MARTES,7,9,2023,2024,42
FILO,P MATEMATICA,JUEVES,11,13,2023,2024,26
FILO,P MATEMATICA,JUEVES,15,17,2023,2024,48
FILO,P MATEMATICA,MARTES,15,17,2023,2024,56
FIGEMPA,MINAS,MIERCOLES,11,13,2023,2024,18
FILO,P MATEMATICA,VIERNES,11,13,2023,2024,40
FILO,P MATEMATICA,VIERNES,15,17,2023,2024,34
AGR,AGRONOMIA,JUEVES,10,12,2023,2024,23
ICA,S INFORMACION,MARTES,11,13,2023,2024,37
FILO,P MATEMATICA,MARTES,9,11,2023,2024,31
FILO,MECATRONICA,JUEVES,11,13,2023,2024,35
