Facultad,Carrera,Día,H_Inicio,H_Salida,Año_Inicio,Año_Fin,Total Estudiantes,Proyecto,Entrada,Salida,Profesor
FIGEMPA,GEOLOGIA,MARTES,14,16,2020,2020,57,0,12,20,DOC_07
FILO,P MATEMATICA,MARTES,16,18,2020,2020,37,0,12,20,DOC_07
ICA,S INFORMACION,MIERCOLES,16,18,2020,2020,65,0,12,20,DOC_07
FILO,P INFORMATICA,MIERCOLES,18,20,2020,2020,37,0,12,20,DOC_07
CQ,BIO Y FAR,VIERNES,13,15,2020,2020,63,0,12,20,DOC_07
FILO,P MATEMATICA,LUNES,16,18,2020,2020,38,0,12,20,DOC_14
FILO,P INFORMATICA,MARTES,18,20,2020,2020,26,0,12,20,DOC_14
FILO,P INFORMATICA,MIERCOLES,16,18,2020,2020,26,0,12,20,DOC_14
ICA,S INFORMACION,VIERNES,18,20,2020,2020,64,0,12,20,DOC_14
IQ,I QUIMICA,JUEVES,15,17,2020,2020,61,0,12,20,DOC_01
CQ,QUIMICA,MARTES,14,16,2020,2020,49,0,12,20,DOC_01
FILO,P MATEMATICA,MARTES,16,18,2020,2020,40,0,12,20,DOC_01
IQ,I QUIMICA,MARTES,11,13,2020,2020,46,0,12,20,DOC_01
FILO,P MATEMATICA,MIERCOLES,16,18,2020,2020,44,0,12,20,DOC_01
FIGEMPA,MINAS,VIERNES,12,14,2020,2020,11,0,12,20,DOC_01
FILO,MECATRONICA,VIERNES,16,18,2020,2020,31,0,12,20,DOC_01
ICA,CIVIL,MARTES,7,9,2020,2020,69,1,7,15,DOC_11
ICA,CIVIL,MIERCOLES,7,9,2020,2020,30,1,7,15,DOC_11
IQ,I QUIMICA,MIERCOLES,11,13,2020,2021,49,1,7,15,DOC_09
ICA,CIVIL,MARTES,14,16,2020,2021,45,1,7,15,DOC_09
CQ,BIO Y FAR,MIERCOLES,9,11,2020,2021,60,1,7,15,DOC_08
CQ,BIO Y FAR,VIERNES,13,15,2020,2021,60,1,7,15,DOC_09
FIGEMPA,GEOLOGIA,MARTES,14,16,2020,2021,30,0,12,20,DOC_03
FIGEMPA,PETROLEOS,MIERCOLES,14,16,2020,2021,32,0,12,20,DOC_03
FILO,P INFORMATICA,LUNES,8,10,2020,2021,27,1,7,15,DOC_12
FILO,P MATEMATICA,MARTES,16,18,2020,2021,43,0,12,20,DOC_03
FILO,MECATRONICA,VIERNES,7,9,2020,2021,45,1,7,15,DOC_12
ARQ,ARQUITECTURA,JUEVES,11,13,2020,2021,45,0,12,20,DOC_03
FILO,P MATEMATICA,MIERCOLES,9,11,2020,2021,51,1,7,15,DOC_12
FILO,P MATEMATICA,JUEVES,16,18,2020,2021,35,0,12,20,DOC_03
ICA,CIVIL,MARTES,9,11,2020,2021,42,1,7,15,DOC_09
FILO,P INFORMATICA,LUNES,15,17,2020,2021,50,1,7,15,DOC_08
FILO,P INFORMATICA,MIERCOLES,7,9,2020,2021,36,1,7,15,DOC_08
FILO,P INFORMATICA,MIERCOLES,15,17,2020,2021,38,1,7,15,DOC_08
FILO,P INFORMATICA,JUEVES,8,10,2020,2021,50,1,7,15,DOC_08
CQ,BIO Y FAR,JUEVES,7,9,2020,2021,35,1,7,15,DOC_12
CQ,BIO Y FAR,VIERNES,15,17,2020,2021,57,0,12,20,DOC_03
FILO,P MATEMATICA,JUEVES,7,9,2021,2021,32,0,7,15,DOC_04
FILO,P MATEMATICA,MARTES,7,9,2021,2021,39,0,7,15,DOC_04
CQ,BIO Y FAR,MIERCOLES,9,11,2021,2021,54,0,7,15,DOC_04
CQ,QUIMICA,VIERNES,9,11,2021,2021,45,0,7,15,DOC_04
IQ,I QUIMICA,VIERNES,13,15,2021,2021,15,0,7,15,DOC_04
CQ,BIO Y FAR,VIERNES,13,15,2021,2021,54,1,7,15,DOC_09
ICA,INDUSTRIAL,MARTES,9,11,2021,2021,60,1,7,15,DOC_11
ICA,CIVIL,LUNES,9,11,2020,2020,64,1,7,15,DOC_13
ICA,INDUSTRIAL,VIERNES,11,13,2020,2020,75,1,7,15,DOC_13
FIGEMPA,PETROLEOS,VIERNES,7,9,2020,2020,50,1,7,15,DOC_13
ICA,CIVIL,MIERCOLES,14,16,2020,2020,29,1,12,20,DOC_10
ICA,COMPUTACION,LUNES,7,9,2020,2020,45,1,7,15,DOC_13
CQ,BIO Y FAR,MARTES,7,9,2020,2020,58,1,7,15,DOC_13
IQ,I QUIMICA,MIERCOLES,7,9,2020,2020,17,1,7,15,DOC_13
IQ,I QUIMICA,MARTES,11,13,2021,2021,11,1,7,15,DOC_09
FIGEMPA,AMBIENTAL,MIERCOLES,14,16,2021,2021,18,1,7,15,DOC_09
AGR,AGRONOMIA,VIERNES,10,12,2021,2021,65,1,7,15,DOC_09
ARQ,ARQUITECTURA,MARTES,9,11,2021,2021,26,1,7,15,DOC_12
FILO,P MATEMATICA,MIERCOLES,9,11,2021,2021,40,1,7,15,DOC_12
ICA,COMPUTACION,MIERCOLES,14,16,2021,2021,70,1,7,15,DOC_13
ARQ,ARQUITECTURA,JUEVES,11,13,2021,2021,26,0,12,20,DOC_03
FILO,P MATEMATICA,JUEVES,16,18,2021,2021,32,0,12,20,DOC_03
FIGEMPA,GEOLOGIA,MARTES,14,16,2021,2021,19,0,12,20,DOC_03
FIGEMPA,MINAS,MARTES,16,18,2021,2021,18,0,12,20,DOC_03
CIENCIAS,MATEMATICA,MIERCOLES,15,17,2021,2021,36,0,12,20,DOC_03
CQ,BIO Y FAR,VIERNES,17,19,2021,2021,72,0,12,20,DOC_03
FILO,P INFORMATICA,JUEVES,7,9,2021,2021,41,0,7,15,DOC_08
FILO,P INFORMATICA,LUNES,7,9,2021,2021,33,0,7,15,DOC_08
FILO,P INFORMATICA,MIERCOLES,15,17,2021,2021,40,0,7,15,DOC_08
FILO,P INFORMATICA,VIERNES,7,9,2021,2021,38,0,7,15,DOC_08
CQ,QUIMICA,JUEVES,8,10,2021,2021,50,1,7,15,DOC_11
ICA,CIVIL,MIERCOLES,7,9,2021,2021,38,1,7,15,DOC_11
IQ,I QUIMICA,MIERCOLES,13,15,2021,2021,40,1,7,15,DOC_11
FILO,P INFORMATICA,JUEVES,15,17,2021,2021,34,0,12,20,DOC_01
CIENCIAS,MATEMATICA,LUNES,13,15,2021,2021,32,0,12,20,DOC_01
FILO,P MATEMATICA,LUNES,16,18,2021,2021,25,0,12,20,DOC_01
FILO,P MATEMATICA,MARTES,16,18,2021,2021,34,0,12,20,DOC_01
FIGEMPA,MINAS,VIERNES,14,16,2021,2021,9,0,12,20,DOC_01
FILO,P MATEMATICA,VIERNES,16,18,2021,2021,37,0,12,20,DOC_01
CQ,BIO Y FAR,LUNES,10,12,2022,2023,18,1,7,15,DOC_09
ICA,CIVIL,MIERCOLES,9,11,2022,2023,38,1,7,15,DOC_09
FILO,P MATEMATICA,LUNES,7,9,2022,2023,48,1,7,15,DOC_09
ICA,CIVIL,MIERCOLES,9,11,2023,2023,43,1,7,15,DOC_09
FILO,P MATEMATICA,MARTES,7,9,2023,2023,43,1,7,15,DOC_09
FILO,P MATEMATICA,LUNES,7,10,2023,2023,29,1,7,15,DOC_09
ARQ,ARQUITECTURA,MIERCOLES,13,15,2023,2024,40,1,7,15,DOC_02
ICA,CIVIL,JUEVES,7,9,2023,2024,53,1,7,15,DOC_09
ICA,CIVIL,JUEVES,9,11,2023,2024,43,1,7,15,DOC_09
FILO,P MATEMATICA,LUNES,7,9,2023,2024,50,1,7,15,DOC_09
ICA,CIVIL,VIERNES,9,11,2023,2024,47,1,7,15,DOC_09
ARQ,ARQUITECTURA,VIERNES,11,13,2023,2024,50,1,7,15,DOC_09
